   1 	    12.0209 
   2 	    16.5659 
   3 	    21.3695 
   4 	    25.8884 
   5 	    30.8747 
   6 	    35.3924 
   7 	    40.4453 
   8 	    45.0864 
   9 	    49.8868 
  10 	    54.2934 
  11 	    59.2366 
  12 	    68.3821 
  13 	    73.2181 
  14 	    77.7539 
  15 	    82.3191 
  16 	    87.2868 
  17 	    91.6760 
  18 	    96.4669 
  19 	   101.1958 
  20 	   105.8944 
  21 	   110.6356 
  22 	   115.4844 
  23 	   119.9515 
  24 	   125.0033 
  25 	   129.3501 
  26 	   134.3018 
  27 	   138.7192 
  28 	   143.7644 
  29 	   148.5191 
  30 	   153.1525 
  31 	   157.7169 
  32 	   162.5700 
  33 	   166.9004 
  34 	   171.9344 
  35 	   176.3564 
  36 	   181.3110 
  37 	   185.4823 
  38 	   190.7673 
  39 	   195.0172 
  40 	   204.4803 
  41 	   209.5797 
  42 	   213.9795 
  43 	   219.0305 
  44 	   223.2810 
  45 	   228.3904 
  46 	   232.6007 
  47 	   237.5821 
  48 	   241.8636 
  49 	   247.4511 
