   1 	     4.3488 
   2 	     9.3651 
   3 	    13.7501 
   4 	    18.8062 
   5 	    23.2986 
   6 	    28.1455 
   7 	    32.7608 
   8 	    37.5501 
   9 	    42.0480 
  10 	    46.9705 
  11 	    51.6357 
  12 	    56.2483 
  13 	    60.9880 
  14 	    65.6946 
  15 	    70.3297 
  16 	    75.0799 
  17 	    79.6954 
  18 	    84.6250 
  19 	    89.0820 
  20 	    93.9148 
  21 	    98.5135 
  22 	   103.3902 
  23 	   107.9059 
  24 	   112.7936 
  25 	   117.2525 
  26 	   122.2638 
  27 	   126.7312 
  28 	   131.6226 
  29 	   135.9833 
  30 	   140.8957 
  31 	   145.3845 
  32 	   150.4138 
  33 	   154.9772 
  34 	   159.8274 
  35 	   164.1879 
  36 	   169.2900 
  37 	   173.6281 
  38 	   178.4411 
  39 	   182.9453 
  40 	   188.0189 
  41 	   192.4781 
  42 	   197.5123 
  43 	   201.7330 
  44 	   206.7124 
  45 	   211.1756 
  46 	   216.0238 
  47 	   220.6430 
  48 	   225.4127 
  49 	   230.1253 
